Project,Method,Metric,Type,APFD,Setup (s),Prior (s),Total (s),Runs
Time,FALCON-codexembed,cosine,Submodular-Emb,0.8188 ± 0.0000,74.92,8.43,83.35,1
Time,FALCON-codexembed,euclidean,Submodular-Emb,0.7951 ± 0.0000,0.00,8.09,8.09,1
Time,FALCON-unixcoder,cosine,Submodular-Emb,0.7944 ± 0.0000,24.83,8.61,33.44,1
Time,FALCON-unixcoder,euclidean,Submodular-Emb,0.7226 ± 0.0000,0.00,7.59,7.59,1
Time,FALCON-graphcodebert,cosine,Submodular-Emb,0.7155 ± 0.0000,32.46,9.04,41.50,1
Time,FALCON-graphcodebert,euclidean,Submodular-Emb,0.7091 ± 0.0000,0.00,8.23,8.23,1
Time,FALCON-codebert,cosine,Submodular-Emb,0.7171 ± 0.0000,32.55,9.05,41.60,1
Time,FALCON-codebert,euclidean,Submodular-Emb,0.6582 ± 0.0000,0.00,8.28,8.28,1
Time,FALCON-starencoder,cosine,Submodular-Emb,0.7675 ± 0.0000,31.59,8.81,40.40,1
Time,FALCON-starencoder,euclidean,Submodular-Emb,0.7367 ± 0.0000,0.00,8.31,8.31,1
Time,LOGDET-codexembed,cosine,Submodular-Emb,0.8314 ± 0.0000,0.00,173.87,173.87,1
Time,LOGDET-codexembed,euclidean,Submodular-Emb,0.8346 ± 0.0000,0.00,183.00,183.00,1
Time,LOGDET-unixcoder,cosine,Submodular-Emb,0.7940 ± 0.0000,0.00,151.37,151.37,1
Time,LOGDET-unixcoder,euclidean,Submodular-Emb,0.7288 ± 0.0000,0.00,266.67,266.67,1
Time,LOGDET-graphcodebert,cosine,Submodular-Emb,0.7290 ± 0.0000,0.00,121.00,121.00,1
Time,LOGDET-graphcodebert,euclidean,Submodular-Emb,0.6806 ± 0.0000,0.00,198.69,198.69,1
Time,LOGDET-codebert,cosine,Submodular-Emb,0.6706 ± 0.0000,0.00,111.04,111.04,1
Time,LOGDET-codebert,euclidean,Submodular-Emb,0.6809 ± 0.0000,0.00,199.38,199.38,1
Time,LOGDET-starencoder,cosine,Submodular-Emb,0.7509 ± 0.0000,0.00,117.08,117.08,1
Time,LOGDET-starencoder,euclidean,Submodular-Emb,0.7608 ± 0.0000,0.00,166.18,166.18,1
Time,GRAPHCUT-codexembed,cosine,Submodular-Emb,0.4043 ± 0.0000,0.00,292.71,292.71,1
Time,GRAPHCUT-codexembed,euclidean,Submodular-Emb,0.4264 ± 0.0000,0.00,566.30,566.30,1
Time,GRAPHCUT-unixcoder,cosine,Submodular-Emb,0.5421 ± 0.0000,0.00,174.88,174.88,1
Time,GRAPHCUT-unixcoder,euclidean,Submodular-Emb,0.5675 ± 0.0000,0.00,263.58,263.58,1
Time,GRAPHCUT-graphcodebert,cosine,Submodular-Emb,0.5709 ± 0.0000,0.00,265.65,265.65,1
Time,GRAPHCUT-graphcodebert,euclidean,Submodular-Emb,0.6306 ± 0.0000,0.00,242.64,242.64,1
Time,GRAPHCUT-codebert,cosine,Submodular-Emb,0.4770 ± 0.0000,0.00,348.58,348.58,1
Time,GRAPHCUT-codebert,euclidean,Submodular-Emb,0.5286 ± 0.0000,0.00,229.08,229.08,1
Time,GRAPHCUT-starencoder,cosine,Submodular-Emb,0.5582 ± 0.0000,0.00,610.63,610.63,1
Time,GRAPHCUT-starencoder,euclidean,Submodular-Emb,0.5354 ± 0.0000,0.00,262.64,262.64,1
Time,FAST-pw,N/A,FAST-Shingles,0.5927 ± 0.0230,3.24,5.05,8.30,50
Time,FAST-all,N/A,FAST-Shingles,0.6225 ± 0.0415,3.26,0.03,3.29,50
Time,FAST-sqrt,N/A,FAST-Shingles,0.6539 ± 0.0318,3.24,0.07,3.31,50
Time,FAST-log,N/A,FAST-Shingles,0.6309 ± 0.0301,3.26,0.08,3.34,50
Time,FAST-one,N/A,FAST-Shingles,0.6191 ± 0.0266,3.24,0.32,3.56,50
Mockito,FALCON-codexembed,cosine,Submodular-Emb,0.7058 ± 0.0000,21.50,1.75,23.25,1
Mockito,FALCON-codexembed,euclidean,Submodular-Emb,0.6804 ± 0.0000,0.00,1.79,1.79,1
Mockito,FALCON-unixcoder,cosine,Submodular-Emb,0.7362 ± 0.0000,10.64,1.89,12.53,1
Mockito,FALCON-unixcoder,euclidean,Submodular-Emb,0.7159 ± 0.0000,0.00,1.70,1.70,1
Mockito,FALCON-graphcodebert,cosine,Submodular-Emb,0.6724 ± 0.0000,13.60,2.01,15.61,1
Mockito,FALCON-graphcodebert,euclidean,Submodular-Emb,0.6903 ± 0.0000,0.00,1.87,1.87,1
Mockito,FALCON-codebert,cosine,Submodular-Emb,0.6719 ± 0.0000,13.62,2.06,15.68,1
Mockito,FALCON-codebert,euclidean,Submodular-Emb,0.6795 ± 0.0000,0.00,2.05,2.05,1
Mockito,FALCON-starencoder,cosine,Submodular-Emb,0.7040 ± 0.0000,10.53,1.89,12.42,1
Mockito,FALCON-starencoder,euclidean,Submodular-Emb,0.7080 ± 0.0000,0.00,1.81,1.81,1
Mockito,LOGDET-codexembed,cosine,Submodular-Emb,0.7675 ± 0.0000,0.00,38.84,38.84,1
Mockito,LOGDET-codexembed,euclidean,Submodular-Emb,0.7305 ± 0.0000,0.00,19.34,19.34,1
Mockito,LOGDET-unixcoder,cosine,Submodular-Emb,0.7268 ± 0.0000,0.00,35.33,35.33,1
Mockito,LOGDET-unixcoder,euclidean,Submodular-Emb,0.6806 ± 0.0000,0.00,27.80,27.80,1
Mockito,LOGDET-graphcodebert,cosine,Submodular-Emb,0.7035 ± 0.0000,0.00,29.57,29.57,1
Mockito,LOGDET-graphcodebert,euclidean,Submodular-Emb,0.7385 ± 0.0000,0.00,21.41,21.41,1
Mockito,LOGDET-codebert,cosine,Submodular-Emb,0.7138 ± 0.0000,0.00,27.38,27.38,1
Mockito,LOGDET-codebert,euclidean,Submodular-Emb,0.7442 ± 0.0000,0.00,21.93,21.93,1
